ID,Word,POS,Ideal Meanings,Oxford Data,Oxford Coincidence (%),Oxford Status,CLD Data,CLD Coincidence (%),CLD Status,Sam Data,Sam Coincidence (%),Sam Status,Muller A4 Data,Muller A4 Coincidence (%),Muller A4 Status,Muller 300k Data,Muller 300k Coincidence (%),Muller 300k Status,Shkolnik Data,Shkolnik Coincidence (%),Shkolnik Status,Muller AST Data,Muller AST Coincidence (%),Muller AST Status
865,contradiction,noun,"противоречие | опровержение, возражение | опровер-жение | противоположность, полное несоответствие","про-тиворечие, расхождение | опровер-жение | противоположность, полное несоответствие",26.0,Низкое совпадение,"противоречие | опровержение, возражение",71.0,Хорошее совпадение,"противоречие | несоответствие, расхождение | явное/очевидное противоречие | опровержение | официальное опровержение",81.0,Высокое совпадение,"про тиворечие, расхождение | явное противоречие | опровер жение | официальное опровержение недав них слухов | противоположность, полное несоответствие",75.0,Высокое совпадение,"противоречие, опро вержение",61.0,Хорошее совпадение,,0.0,Отсутствует в словаре,опроверже ние | противоре чие,66.0,Хорошее совпадение
866,die,"noun, verb","умирать | штамп, пуансон; штем-пель, матрица | винторезная головка; клупп | игральная кость","игральная кость | штамп, пуансон; штем-пель, матрица | винторезная головка; клупп | архит. цоколь ( колонны ) | воло-чильная доска; фильера | штамповать, чеканить",61.0,Хорошее совпадение,умирать,61.0,Хорошее совпадение,"игральная кость | штамп, пуансон | матрица | штемпель, мундштук (пресса | клупп | винторезная головка",61.0,Хорошее совпадение,"игральная кость | жуль ничать | штамп, пуансон | штем пель, матрица | винторезная головка | клупп",61.0,Хорошее совпадение,"игральная кость | жребии | брошен, выбор сделан | штамп, штем - пель | матрица | винторез",51.0,Частичное совпадение,умирать | за мирать (о звуке,61.0,Хорошее совпадение,умира ть | замира ть (о звуке,61.0,Хорошее совпадение
867,sock,"adverb, noun, verb",носок | стелька | сандалия актёра ( в античЗ ной комедии ),"носок | стелька | сандалия актёра ( в античЗ ной комедии ) | удар | ~ smb. дать тумакакому-л. | с размаху, прямо",96.0,Идеальное совпадение,носок,64.3,Хорошее совпадение,"носок | стелька | поднатужиться | натягивать носки | сленг | удар,  кулаком",77.7,Высокое совпадение,носок | стелька | ист | сандалия акте | ра (в антич нои | комедии,96.0,Идеальное совпадение,носок | стелька | швырнуть | хва - тить (камнем | удар,77.7,Высокое совпадение,носок,64.3,Хорошее совпадение,носо к,64.3,Хорошее совпадение
868,interview,"noun, verb",собеседование | интервью | допрос,"собеседо-вание при приёме на работу, поступ-лении в учебное заведение и т. п. | интервью (в газете ) | деловое свидание, встреча, беседа; интервью | иметь беседу, интервью; интер-вьюировать",19.3,Низкое совпадение,"собеседование | интервью | допрос | проводить собеседование, брать интервью, допрашивать",100.0,Идеальное совпадение,"собеседование | отборочное собеседование (при прие | ме на работу | интервью | он дал журналистам интервью | проводить беседу, собеседование",77.7,Высокое совпадение,"собеседо вание при прие | ме на работу, поступ лении в учебное заведение и т | интервью (в газете | деловое свидание, встреча, беседа | интервью | получить (дать) интервью",19.3,Низкое совпадение,"свидание, встреча, беседа, собеседо вание | интер - вью | иметьбеседу, интервью | интервьюи ровать",19.3,Низкое совпадение,"сви дание | беседа | интервью | иметь беседу, интервью",19.3,Низкое совпадение,"сви да ние | бесе да | интервью | он не дае | т интервью пре ссе | име ть бесе ду, интервью",19.3,Низкое совпадение
869,spotlight,"noun, verb",прожектор | подвижная фара | осве-тить | фара,прожектор для подсветки | подвижная фара | осве-тить | поместить в центр внима-ния,26.0,Низкое совпадение,прожектор,61.0,Хорошее совпадение,"прожектор, осветитель | фара | всеобщее внимание | осветить прожектором | высветить | ярко осветить",71.0,Хорошее совпадение,театр | прожектор для подсветки | авто подвижная фара | быть в центре внимания | осве тить | поместить в центр внима ния,16.0,Низкое совпадение,театр | лампа дляпод светки | ам | перен | выдающе есяполо жение | центрвни мания,6.0,Низкое совпадение,,0.0,Отсутствует в словаре,проже ктор,61.0,Хорошее совпадение
870,imprison,verb,заключать в тюрьму | лишать свободы,заключать в тюрьму; лишать свободы,100.0,Идеальное совпадение,заключать в тюрьму,71.0,Хорошее совпадение,заключать в тюрьму | лишать свободы,100.0,Идеальное совпадение,заключать в тюрьму | лишать свободы,100.0,Идеальное совпадение,заклю чатьв тюрьму | лишать свободы,100.0,Идеальное совпадение,заключать в тюрьму,71.0,Хорошее совпадение,заключа ть в тюрьму,71.0,Хорошее совпадение
871,prison,"noun, verb",тюрьма | attr. тюремный,"тюрьма | attr. тюремный | заключать в тюрьму | сковывать, лишать свободы prisonпbreaker [ /G02pr/G05zn/G06bre/G05k/G04] n бе-жавший из тюрьмыprisonпbreaking [ /G02pr/G05zn/G06bre/G05k/G05/G15] n по-бег из тюрьмы",96.0,Идеальное совпадение,тюрьма,71.0,Хорошее совпадение,тюрьма,71.0,Хорошее совпадение,тюрьма | тюремныи | тюремная боль ница | лагерь военнопленных или политзаключе | нных | поэт,92.0,Идеальное совпадение,"упрятать, упечьв тюрьму | тюрьма | поэт | заклю чатьв тюрьму | бежавшии | изтюрьмы",67.0,Хорошее совпадение,тюрьма | заключе | нныи | военно)пленныи,71.0,Хорошее совпадение,тюрьма,71.0,Хорошее совпадение
872,share,"noun, verb","делить, разделять | акция (предприятия) | участие | доля, часть","доля, часть | участие | акция; пай | делить(ся), распределять (тж. ~ out) | участвовать; быть пайщиком ( тж . ~ in) | разде-лять (мнение, вкусы и т. п. )",84.0,Высокое совпадение,"делить, разделять | делить, распределять | акция (предприятия) | доля",81.0,Высокое совпадение,"доля, часть | львиная доля | доля, удел | акция | паи | участие, роль (в че",61.0,Хорошее совпадение,"доля, часть | у него очень развито чувство собственного до стоинства | делиться чемл | поровну с кемл | участие | он делает больше, чем дол жен (или чем от него требуется",51.0,Частичное совпадение,"перен | львинаядоля | доля, часть | делитьсяпо ровну | акция | паи",26.0,Низкое совпадение,"часть, доля | паи | акция | делить (ся | разделять | иметь до лю (в че",71.0,Хорошее совпадение,"часть, до ля | паи | а кция | дели ть(ся | разделя ть | име ть до лю (в че",71.0,Хорошее совпадение
873,scratch,"adjective, noun, verb","чесать(ся) | царапать, оцарапать | скрип; ца-рапанье; чирканье | почёсывание, расчёсывание","царапина; легкоотделаться | скрип; ца-рапанье; чирканье | почёсывание, расчёсывание | стартовая черта; б) решиться (на чтоЗл. ); быть готовым к борьбе; быть в форме; б) начать всё с (самого) начала | участник состязания, не получающий преимущества ( тж. ~ man) | росчерк; пометка; караку-ли",26.0,Низкое совпадение,"чесать(ся) | царапать, оцарапать | царапать(ся) | царапина | почесывание",71.0,Хорошее совпадение,царапанье | поче | сывание | почесать голову | царапина | черта,16.0,Низкое совпадение,дьявол | царапина | отделаться царапи нои | легко отделаться | скрип | ца рапанье,16.0,Низкое совпадение,"царапать(ся | царапина, пометка",71.0,Хорошее совпадение,царапать (ся | чесать(ся | цара пина,71.0,Хорошее совпадение,цара пать(ся | чеса ть(ся | цара пина,71.0,Хорошее совпадение
874,grain,"noun, verb",зерно | крупинка | крупица | собир. крупа,"зерно (злаков и т. п.) | собир. зерно , хлебные злаки | собир. крупа | зёрнышко; кру-пинка; песчинка; мельчайшая час-тица | гран (= 0,0648 г) | зер-нистость, грануляция",71.0,Хорошее совпадение,зерно | крупинка | крупица,81.0,Высокое совпадение,зерно | хлебные злаки | хлеб на корню | крупа (продукт питания | крупинка | зе,81.0,Высокое совпадение,"зерно (злаков и т | собир | зерно, хлебные злаки | крупа | зе | рнышко",71.0,Хорошее совпадение,зерно | хлебные злаки | крупа | гран | крупинка | перен,81.0,Высокое совпадение,зерно | кру пинка | гран | волокно,61.0,Хорошее совпадение,зерно | крупи нка | гран | волокно,71.0,Хорошее совпадение
875,retain,verb,"сохранять, удерживать | помнить","удерживать; под-держивать | сохранять | помнить | приглашать, нанимать (особ. адвокаЗ та с предварительной оплатой услуг)",96.0,Идеальное совпадение,"сохранять, удерживать",71.0,Хорошее совпадение,"сохранять | удерживать | сохранять контроль над компаниеи | сдерживать | приглашать, нанимать ( адвоката | помнить",92.0,Идеальное совпадение,"удерживать | под держивать | сохранять | помнить | приглашать, нанимать | адвока та с предварительнои",92.0,Идеальное совпадение,"удерживать, поддер живать | сохранять | по - мнить | зара неена нимать | адвоката",71.0,Хорошее совпадение,сохранять,71.0,Хорошее совпадение,сохраня ть,71.0,Хорошее совпадение
876,tip,"noun, verb","кончик, верхушка | совет | чаевые | наконечник ( напр., зонта )","тонкий конец; кон-чик | наконечник ( напр., зонта ) | верхушка | приставлять или надевать на-конечник | срезать верхушки ( кусЗ та, дерева ) | лёгкий толчок, при-косновение",41.0,Частичное совпадение,"кончик, верхушка | совет | чаевые | свалка | помойка | наклонять(ся)",81.0,Высокое совпадение,"верхушка, кончик | наконечник | мундштук | вертеться на языке | чаевые | наме",81.0,Высокое совпадение,"тонкии | конец | кон чик | у меня это вертелось на языке | ходить на цыпочках | слегка коснуться, едва дотронуться",31.0,Низкое совпадение,нако нечник | чаевые | тонкии | конец | вер - хушка (горы | кончик,41.0,Частичное совпадение,"кончик | опрокидывать | чаевые | на ме | к, совет | давать",81.0,Высокое совпадение,"ко нчик | опроки дывать | чаевы е | наме | к, сове т | дава ть",81.0,Высокое совпадение
877,delivery,noun,"доставка | роды | передача, вручение | поставка","поставка; дос-тавка; разноска (писем, газет ); the early (или; б) спешная почта | передача, вручение | роды | подача (особ. в крикете ) | сдача; выдача | произнесение (речи и т. п.)",61.0,Хорошее совпадение,доставка | роды,71.0,Хорошее совпадение,доставка | поставка | наложенныи | плате | оплата при доставке | роды,81.0,Высокое совпадение,"поставка | дос тавка | разноска (писем, газет | или | первая раз носка писем (утром | а) срочная доставка",61.0,Хорошее совпадение,"поставка | доставка | разноска (писем, газет",66.0,Хорошее совпадение,доставка | роды,71.0,Хорошее совпадение,доста вка | ро ды,71.0,Хорошее совпадение
878,park,"noun, verb",парк | парковать(ся) | заповедник (тж. national ~) | ме-сто стоянки мобилей,"парк ( тж. З мобильный, артиллерийский и т. п. ) | заповедник (тж. national ~) | ме-сто стоянки мобилей | высокогорная долина | устричный садок | ставить на (длительную) сто-янку (мобиль и т. п. )",81.0,Высокое совпадение,парк | парковать(ся),71.0,Хорошее совпадение,"парк | площадь, на которои | размещена группа родственных предприятии | место стоянки (автомобилеи | и т п | парковка",71.0,Хорошее совпадение,парк | авто мобильныи | артиллерии | скии | и т | заповедник,71.0,Хорошее совпадение,парк | томо - бильныи | артил лерии | скии | ит | запо ведник,61.0,Хорошее совпадение,парк | по ставить на стоянку (автома шину | парковать,81.0,Высокое совпадение,парк | поста вить на стоя нку (автомашину | паркова ть,71.0,Хорошее совпадение
879,environmental,adjective,относящийся к окружающей среде,относящийся к окружац ющей среде; относящийся к борьбес загрязнением окружающей среды,100.0,Идеальное совпадение,относящийся к окружающей среде,100.0,Идеальное совпадение,"относящии | ся к окружающеи | среде, к среде обитания человека | контроль за состоянием окружающеи | среды",92.0,Идеальное совпадение,книжн | относящии | ся к окружа ющеи | среде | ся к борьбе с загрязнением окружающеи | среды,67.0,Хорошее совпадение,экологическии,6.0,Низкое совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
880,world,noun,"мир, сфера | всемирный, во всем мире | жизнь ( человеЗ ка ) | шар","мир, свет; вселен-ная; not of this ~ ≅ не от мира сего | мир, царство | жизнь ( человеЗ ка ) | мир, кругозор; деятель-ность | определённая сфера дея-тельности, мир | общество",71.0,Хорошее совпадение,"мир, сфера | всемирный, во всем мире",71.0,Хорошее совпадение,"мир, свет, земнои | шар | объехать весь свет | население земного шара, человечество | часть земного шара | период истории",71.0,Хорошее совпадение,"все | отдать или рас сказать комул | взять ко гол | в работу, грубо обращать ся | в) сл | пустить когол",6.0,Низкое совпадение,"низа чтона свете | весьсвет | невре димыи | целыи | мир, свет | всемирноиз вестныи",31.0,Низкое совпадение,мир | свет | а мировои,61.0,Хорошее совпадение,мир | свет | мирово и | ВОДОПАДЫ,61.0,Хорошее совпадение
881,sponsorship,noun,спонсорство | финансирование | финансовая поддержка,спонсорство,64.3,Хорошее совпадение,,0.0,Отсутствует в словаре,"финансирование | финансовая поддержка | инициатива, почин | одобрение, поддержка | поручительство | порука, гарантия",57.7,Хорошее совпадение,,0.0,Отсутствует в словаре,спонсор - ство,6.0,Низкое совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
882,dare,"noun, verb","вызов | пренебрегать опасностью, рисковать","модальный глагол сметь, отваживаться | пренебрегать опасностью, рисковать | вызы-вать (to — на что-л.); подзадори-вать | вызов",64.0,Хорошее совпадение,вызов,71.0,Хорошее совпадение,"вызов | бросить вызов | принять вызов | рискнуть | л ед ч наст вр обыкн | сметь, отваживаться",67.0,Хорошее совпадение,"ед | настоящего време ни | модальныи | глагол сметь, отваживаться | он не осмелится отрицать это | я уверен в этом",2.0,Низкое совпадение,"ед | настояще говремени | сметь, отва живаться | оннеос мелитсяотри цатьэто | яуверенвэтом | вызы ватьна чтолибо",37.0,Частичное совпадение,"сметь, отважи ваться | вызывать на | вероятно",6.0,Низкое совпадение,"сметь, отва живаться | вызыва ть на | вероя тно",6.0,Низкое совпадение
883,burden,"noun, verb",обуза | бремя | тоннаж ( судна ) | ноша,"ноша, тя-жесть; груз | бремя | тоннаж ( судна ) | накладные расходы | горн. пус-тая порода, покрывающая руду | нагружать",61.0,Хорошее совпадение,обуза,61.0,Хорошее совпадение,ноша | тяжесть | груз | грузоподъе | мность | тонна грузоподъе,41.0,Частичное совпадение,"ноша, тя жесть | груз | бремя | бре мя забот | бремя дока зательства | тоннаж (судна",61.0,Хорошее совпадение,"ноша, тя - жесть | груз | бремя | тоннаж (судна | наклад ныерас - ходы | нагружать",61.0,Хорошее совпадение,ноша | бре мя | нагружать | обреме нять | об ременительныи,51.0,Частичное совпадение,но ша | бре мя | нагружа ть | обременя ть,51.0,Частичное совпадение
884,printer,noun,"принтер | печатник, типография | текст. набойщик | владелец типографии","печатник; типо-граф | текст. набойщик | информ. принтер, печатающее устройство",71.0,Хорошее совпадение,"принтер | печатник, типография",71.0,Хорошее совпадение,"печатник, типограф | владелец типографии | принтер",71.0,Хорошее совпадение,печатник | типо граф | текст | набои | щик | информ,51.0,Частичное совпадение,принтер | пе - чатник | печа таться | учениквти пографии | текст | набои,71.0,Хорошее совпадение,принтер | лазерныи,61.0,Хорошее совпадение,при нтер | ла зерныи,61.0,Хорошее совпадение
885,militia,noun,"народная милиция, вооруженное ополчение | милиционная армия",народное ополче-ние; милиционная армия ( в Англии ) | милиция,100.0,Идеальное совпадение,"народная милиция, вооруженное ополчение",71.0,Хорошее совпадение,народное ополчение | милиционная армия | милиция,100.0,Идеальное совпадение,народное ополче ние | милиционная армия (в Англии | милиция,100.0,Идеальное совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
886,spokesman,noun,"предста-витель, делегат; оратор | выступающии","предста-витель, делегат; оратор",71.0,Хорошее совпадение,,0.0,Отсутствует в словаре,"представитель, делегат | выступающии | от группы лиц | выступать от имени кого-л | докладчик | оратор",92.0,Идеальное совпадение,"предста витель, делегат | оратор",71.0,Хорошее совпадение,"предста - витель, делегат | оратор",71.0,Хорошее совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
887,hypothesis,noun,гипотеза,"гипотеза, предположение",100.0,Идеальное совпадение,гипотеза,100.0,Идеальное совпадение,"гипотеза, предположение | выдвинуть гипотезу",100.0,Идеальное совпадение,"гипотеза, предположение",100.0,Идеальное совпадение,"гипотеза, предположение",100.0,Идеальное совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
888,innovation,noun,"нововведение, новшество | инновация","нововведе-ние, новшество; новаторство",71.0,Хорошее совпадение,"нововведение, новшество",71.0,Хорошее совпадение,"нововведение, новшество | инновация",100.0,Идеальное совпадение,"нововведе ние, новшество | новаторство",71.0,Хорошее совпадение,"ново - введение, новшество | нова торство",71.0,Хорошее совпадение,новше ство,71.0,Хорошее совпадение,но вшество,6.0,Низкое совпадение
889,judge,"noun, verb","судья | судить, выносить приговор/решение | цени-тель, знаток | арбитр, эксперт","судья; б) начальник воен-но-юридического управления | арбитр, эксперт; третейский судья | цени-тель, знаток | судить; выносить приговор | считать, полагать; составить себемнение, приходить к выводу | быть арбитром, решать",96.0,Идеальное совпадение,"судья | судья, арбитр | судить, выносить приговор/решение | судить, оценивать | осуждать | определять, прикидывать",81.0,Высокое совпадение,"судья | арбитр, эксперт | третеи | скии | ценитель | быть арбитром, экспертом",71.0,Хорошее совпадение,судья | а) правительственныи | консультант по военному судопро изводству | начальник  ноюридического управления | военныи | прокурор,61.0,Хорошее совпадение,"судить повнешности | наза прещение, пре - дупреж дение, препят ствие | судья | арбитр, эксперт | ценитель, знаток",88.0,Высокое совпадение,судья | знаток | судить | приговор | суждение,81.0,Высокое совпадение,судья | знато к | суди ть,81.0,Высокое совпадение
890,washing,"adjective, noun",стирка | обмылки | белье,"бельё (для стирки) | мытьё; стирка | обмылки | тонкий слой (металла, краски и т. п. ) | стирающийся | употребляе-мый для стирки, моющий",89.0,Высокое совпадение,стирка,64.3,Хорошее совпадение,белье | для стирки | мытье | стирка | брать белье | в стирку,72.7,Хорошее совпадение,от | белье | для стирки | мытье | стирка | обмылки,64.0,Хорошее совпадение,"мытье, стир - ка | белье (длястирки | стирающии | ся, моющии | мытьепо - суды",19.3,Низкое совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
891,veteran,noun,ветеран | фронтовик; участник войны | демобилизованный военнослужащий | стареи,"ветеран | фронтовик; участник войны | демобилизованный военнослужащий | attr. заслуженный, маститый; со стажем; опытный, умудрённый опы-том | attr. многолетний, долго-летний",81.0,Высокое совпадение,ветеран,61.0,Хорошее совпадение,ветеран | стареи | шии | имеющии | большои | опыт,71.0,Хорошее совпадение,ветеран | фронтовик | участник вои | ны | демобилизованныи | военнослужащии,81.0,Высокое совпадение,ветеран | бы - валыи | солдат | фронтовик | уча - стниквои | ны,71.0,Хорошее совпадение,ветеран | бывшии | участник вои | ны,71.0,Хорошее совпадение,ветера н | бы вшии | уча стник вои | ны,61.0,Хорошее совпадение
892,similarly,adverb,"подобным образом, так же | одинаково","так же, подоб-ным образом",71.0,Хорошее совпадение,"подобным образом, так же",71.0,Хорошее совпадение,"подобным образом, аналогичным образом | одинаково | так же",100.0,Идеальное совпадение,"так же, подоб ным образом",71.0,Хорошее совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
893,description,noun,"описание | вид, род, сорт; самого худшего сорта | по описанию","описание, изображение; совпадать с приметами; to beggar (или | вид, род, сорт; самого худшего сорта | вычерчивание, описание",77.7,Высокое совпадение,описание,64.3,Хорошее совпадение,"описание | по описанию | неописуемыи | вычерчивание | вид, род",96.0,Идеальное совпадение,"описание, изображение | со ответствовать описанию | совпадать с приметами | или | не поддаваться описанию | не поддающии",77.7,Высокое совпадение,опи - сание | изображение,6.0,Низкое совпадение,описа ние,64.3,Хорошее совпадение,описа ние,64.3,Хорошее совпадение
894,reliability,noun,"надёж-ность; прочность | достоверность | attr.: ~ trial пробный, испытатель-ный пробег (мобиля и т. п.)","надёж-ность; прочность | достоверность | attr.: ~ trial пробный, испытатель-ный пробег (мобиля и т. п.)",100.0,Идеальное совпадение,,0.0,Отсутствует в словаре,достоверность | наде | жность,72.7,Хорошее совпадение,наде | ж ность | прочность | достоверность | пробныи | испытатель ныи,96.0,Идеальное совпадение,"надеж - ность, проч ность | пробныи | испы тательныи | пробег ( томоби - ляит",77.7,Высокое совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
895,temporarily,adverb,временно,временно,100.0,Идеальное совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре,вре - менно,6.0,Низкое совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
896,ship,"noun, verb","корабль | транспортировать, перевозить | экипаж корабля | парусное судно","корабль, судно | экипаж корабля | парусное судно | самолёт | космический корабль | (гоночная) лодка",81.0,Высокое совпадение,"корабль | транспортировать, перевозить",71.0,Хорошее совпадение,корабль | судно | экипаж корабля | судовые документы | самоле | дирижабль,81.0,Высокое совпадение,"корабль, судно | сесть на корабль | экипаж корабля | парусное судно | самоле | космическии",81.0,Высокое совпадение,"общее число членов | ко рабль, судно",16.0,Низкое совпадение,"корабль, судно | отправлять (парохо | дом | погруз ка | груз | кораблекрушение",71.0,Хорошее совпадение,"кора бль, су дно | отправля ть (парохо дом",71.0,Хорошее совпадение
897,monday,noun,понедельник,понедельник,100.0,Идеальное совпадение,понедельник,100.0,Идеальное совпадение,понедельник,100.0,Идеальное совпадение,понедельник | школ | че | рныи | понедель ник | первыи,92.0,Идеальное совпадение,поне дельник,6.0,Низкое совпадение,понедельник,100.0,Идеальное совпадение,понеде льник,6.0,Низкое совпадение
898,maybe,adverb,"может быть, возможно",может быть Mayпbug [/G03me/G04b/G0C/G0B] n майский жук,100.0,Идеальное совпадение,"может быть, возможно | может быть",100.0,Идеальное совпадение,может быть | возможно,100.0,Идеальное совпадение,может быть,100.0,Идеальное совпадение,можетбыть,100.0,Идеальное совпадение,,0.0,Отсутствует в словаре,мо жет быть,100.0,Идеальное совпадение
899,theatrical,"adjective, noun","театральный | театраль-ный, неестественный, напыщенный; показной | pl спектакль ( особ. любиЗ тельский ) | сценическии","театраль-ный, сценический | театраль-ный, неестественный, напыщенный; показной | pl спектакль ( особ. любиЗ тельский ) | профессиональный ак-тёр",61.0,Хорошее совпадение,"театральный | театральный, показной",71.0,Хорошее совпадение,театральныи | сценическии | концерты и спектакли | неестественныи | наигранныи,81.0,Высокое совпадение,театраль ныи | сценическии | теат ральныи | отдел в газете | неестественныи | напыщенныи,81.0,Высокое совпадение,теат - ральныи | сценическии | теа траль - ныи | неестест венныи | напыщен - ныи | теа траль ноедело,26.0,Низкое совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
900,outlet,noun,"фирменный или специализированный магазин | выход, отдушина | сток, вытекание | ком рынок сбыта","выпускное или выходное отверстие | выход, отду-шина | сток, вытекание | рынок сбыта | торговая точка | штепсельная розетка",36.0,Частичное совпадение,"фирменный или специализированный магазин | магазин, торгующий по сниженным ценам | выход, отдушина | сток, выходное отверстие | штепсельная розетка",81.0,Высокое совпадение,"выход, отдушина | ком рынок сбыта | ком торговая точка | фирменныи | магазин | выход",71.0,Хорошее совпадение,"выпускное или выходное отверстие | выход, отду шина | сток, вытекание | рынок сбыта | сфера приме нения капитала | торговая точка",36.0,Частичное совпадение,"выпу скное иливы ходное отверстие | перен | вы - ход, отдушина | сток, выте кание | рынок сбыта",36.0,Частичное совпадение,,0.0,Отсутствует в словаре,,0.0,Отсутствует в словаре
901,lot,"adverb, noun, verb","партия, серия | участок, территория | лот | жребий; пеЗ рен. участь, доля, судьба; to cast (или","много, масса; многие | лот, вещь, продаваемая на аукцио-не или несколько предметов, прода-ваемых одновременно | жребий; пеЗ рен. участь, доля, судьба; to cast (или | (особ. ) участок (земли ) | партия (изЗ делий) | группа, кучка (людей); компания",64.0,Хорошее совпадение,"партия, серия | участок, территория | лот",81.0,Высокое совпадение,"большое количество, множество | много | много народу | судьба, доля, участь | жребии | решать жеребье",16.0,Низкое совпадение,"много, масса | уи | ма, много | многие | громадное количество, масса | лот, вещь, продаваемая на аукцио не или несколько предметов, прода ваемых одновременно",16.0,Низкое совпадение,"жребии | перен | участь, доля, судьба | бросать (тянуть) жребии | связать) разделить (свою) судьбу (с кемли - бо | палнаменя",41.0,Частичное совпадение,"жребии | участь | доля | участок земли | множество, масса",51.0,Частичное совпадение,"жре бии | у часть | до ля | уча сток земли | мно жество, ма сса",51.0,Частичное совпадение
902,enterprise,noun,"предприятие | предприимчивость, инициатива | предпри-нимательство | компания","смелое предприятие | предприимчивость, смелость; инициатива | предпри-нимательство | про-мышленное предприятие (фабрика , завод и т. п.)",81.0,Высокое совпадение,"предприятие | предприимчивость, инициатива",71.0,Хорошее совпадение,промышленное) предприятие | компания | смелое предприятие | рискованное предприятие | предприимчивость | предпринимательство,81.0,Высокое совпадение,"смелое предприятие | предприимчивость, смелость | инициатива | предпри нимательство | или | частное предпринимательство",81.0,Высокое совпадение,"пред - приятие | предприимчи - вость, сме лость | инициатива | предпринима - тельство",16.0,Низкое совпадение,пред приятие | предприимчи вость,6.0,Низкое совпадение,предприя тие | предприи мчивость,61.0,Хорошее совпадение
903,geography,noun,география | геологическии,география geologic(al) [ /G03d/G01i:/G04/G05l/G0Cd/G01/G06k(l)] a геоло-гический,71.0,Хорошее совпадение,география,71.0,Хорошее совпадение,география | геологическии,100.0,Идеальное совпадение,география | геоло гическии | геологическии | воз раст,96.0,Идеальное совпадение,гео графия | геологи ческии | геологичес - кии | возраст,6.0,Низкое совпадение,геогра фия,71.0,Хорошее совпадение,геогра фия,71.0,Хорошее совпадение
904,unlike,"adjective, preposition","в отличие от, не похожий на что-либо/кого-либо | непохоже, несвойственно | непохожии | се","непохожий на, не такой, как | в отличие от",71.0,Хорошее совпадение,"в отличие от, не похожий на что-либо/кого-либо | непохоже, несвойственно",71.0,Хорошее совпадение,"непохожии | се | стры совершенно не похожи друг на друга | не такои | как | не похож, не свои",71.0,Хорошее совпадение,"непохожии | на, не такои | как | физ | разноиме | нные полюсы (заряды",66.0,Хорошее совпадение,"непо хожии | на, нетакои | как | физ | разно - именныеполюса | мат",6.0,Низкое совпадение,а непохожии | в отличие от,66.0,Хорошее совпадение,непохо жии | в отли чие от,41.0,Частичное совпадение
